,id,type,time,author,author_id,re_tweeter,associated_tweet,,links,hashtags,mentions,reply_count,favorite_count,retweet_count,lang,text_raw,textblob_generated,manual_entered,text
0,1.14E+18,tweet,1.56E+12,SharmaRavitha,174397248,,1.14E+18,,[],[],"['@shahidkapoor', '@Kabirsingh']",0,0,0,en, love kabir  superb movie story  character  scene  aggression  flirting  love made worth repeated viewings ,positive,positive," shahidkapoor I am in love with kabir  Kabirsingh is superb movie where story, each character, scene, aggression, flirting, love made it worth repeated viewings."
1,1.14E+18,tweet,1.56E+12,angry_rantman,9.40E+17,,1.14E+18,,[],[],[],2,14,0,en,sweet teddy bear guy chicks magnet behave like kabir singh girls run away         ,positive,positive,That's because you are sweet teddy bear guy and chicks magnet and if you behave like kabir singh all girls will run away.....!!!!
2,1.14E+18,tweet,1.56E+12,pranaytikyani,64400211,,1.14E+18,,[],['#KabirSingh'],[],0,2,0,en,i’m obsessed bekhayali kaise done ,negative,positive,I’m obsessed with Bekhayali and Kaise Hua  KabirSingh
3,1.14E+18,tweet,1.56E+12,ishaqmb,102953841,,1.14E+18,,[],"['#KabirSingh', '#kabirsinghboxoffice', '#KabirSinghReview', '#MentalHealth']","['@mentalhealth', '@shahidkapoor', '@imvangasandeep', '@kamaalrkhan']",0,2,1,en,character kabir needs psychological treatment instead glorified wrong message audience clapping kabirs mental state fun  ,negative,negative,The character of Kabir needs a psychological treatment  instead it's glorified ! Wrong message to audience who are clapping as if Kabirs mental state is fun  mentalhealth shahidkapoor imvangasandeep kamaalrkhan KabirSingh kabirsinghboxoffice KabirSinghReview  MentalHealth
4,1.14E+18,tweet,1.56E+12,BipinShukla1,379698815,,1.14E+18,,[],['#KabirSingh'],['@Advani_Kiara'],0,0,0,en, beautiful person talented actor simplicity says cant describe beauty words  many congrulations success ,positive,positive,Advani_Kiara You are such a beautiful.person and talented actor your simplicity says it all cant describe your beauty in words. Many congrulations on success of  KabirSingh
5,1.14E+18,tweet,1.56E+12,ranveersbabe,2163718256,,1.14E+18,,[],[],[],0,17,3,en,bit searching found much unwarranted hate ranveer people mentioning kabir singh's success revenge ranveer  hijacking  padmaavat this not even fans lead kabir singh which confuses more    ,positive,positive,"I've been doing a bit of searching and have found so much unwarranted hate against Ranveer with people mentioning how Kabir Singh's success is revenge against Ranveer ""hijacking"" Padmaavat.This isn't even from the fans of the lead of Kabir Singh which confuses me more...."
6,1.14E+18,tweet,1.56E+12,nirmal_chin2,164968958,,1.14E+18,,[],['#KabirSingh'],[],0,1,0,en,movie adults not  may 10 years watch      meantime please grow up ,neutral,neutral,This movie for Adults not for you  KabirSingh may be after 10 years you can watch it .... In the meantime please grow up.
7,1.14E+18,tweet,1.56E+12,sadanandpms,2739548102,,1.14E+18,,['https://t.co/dA38chQDvS'],['#KabirSingh'],[],0,1,0,en,know what  terrifying see crowd cheering  singh’s violent anger outbursts misogynistic antics  never seemed contained within walls theatre …,negative,negative,"You know what, it's terrifying to see the crowd cheering  KabirSingh Singh’s violent anger outbursts and misogynistic antics. It never seemed to be contained within the walls of the theatre  …"
8,1.14E+18,tweet,1.56E+12,nirmal_chin2,164968958,,1.14E+18,,[],[],"['@shahidkapoor', '@Advani_Kiara']",0,6,1,en,arjun reddy landmark history kabirsingh gonna  fabulous job sach bolu tho aathanki macha gave justice role and  awesome,positive,positive,But Arjun Reddy is a landmark in history and   kabirsingh is gonna do it  shahidkapoor did a fabulous job . Sach bolu tho Aathanki macha diya did  justice to the role.and  Advani_Kiara was awesome
9,1.14E+18,tweet,1.56E+12,_Manmarziyan,103568484,,1.14E+18,,[],"['#Kabirsingh', '#KabirSinghMovieReview']",[],4,19,2,en,reason  criticized understanding  it’s story  kabir singh character audience not fool imbibe qualities real life  reason rated  ,positive,positive,"The reason why  Kabirsingh is being criticized is out of my understanding. It’s only a story, Kabir singh is just a character and audience is not a fool to imbibe his qualities in real life. The Reason why it is A rated.  KabirSinghMovieReview"
